23:33.5,227,499,621,23167,21406,6744,1024,278,248
23:34.5,227,498,621,23154,21401,6733,1017,277,248
23:35.5,227,498,621,23154,21401,6733,1017,277,248
23:36.6,227,498,621,23154,21401,6733,1017,277,248
23:37.6,226,495,618,23139,21394,6721,1014,278,250
23:38.6,226,495,618,23139,21394,6721,1014,278,250
23:39.7,226,495,618,23139,21394,6721,1014,278,250
23:40.7,228,498,620,23126,21389,6706,1011,279,252
23:41.8,228,498,620,23126,21389,6706,1011,279,252
23:42.8,228,498,620,23126,21389,6706,1011,279,252
23:43.8,227,493,617,23123,21389,6690,1006,280,253
23:44.9,227,493,617,23123,21389,6690,1006,280,253
23:45.9,227,493,617,23123,21389,6690,1006,280,253
23:46.9,228,494,617,23130,21399,6677,998,279,252
23:48.0,228,494,617,23130,21399,6677,998,279,252
23:49.0,228,494,617,23130,21399,6677,998,279,252
23:50.0,229,494,617,23145,21415,6669,990,279,252
23:51.1,229,494,617,23145,21415,6669,990,279,252
23:52.1,229,494,617,23145,21415,6669,990,279,252
23:53.2,229,492,616,23146,21421,6664,984,279,251
23:54.2,229,492,616,23146,21421,6664,984,279,251
23:55.2,229,492,616,23146,21421,6664,984,279,251
23:56.3,228,491,615,23155,21436,6670,979,280,251
23:57.3,228,491,615,23155,21436,6670,979,280,251
23:58.3,228,491,615,23155,21436,6670,979,280,251
23:59.4,230,494,618,23174,21454,6679,976,282,252
24:00.4,230,494,618,23174,21454,6679,976,282,252
24:01.4,230,494,618,23174,21454,6679,976,282,252
24:02.5,230,492,616,23190,21470,6688,972,282,251
24:03.5,230,492,616,23190,21470,6688,972,282,251
24:04.6,230,492,616,23190,21470,6688,972,282,251
24:05.6,230,492,616,23208,21486,6701,967,281,248
24:06.6,230,492,616,23208,21486,6701,967,281,248
24:07.7,230,492,616,23208,21486,6701,967,281,248
24:08.7,231,495,616,23225,21500,6717,961,280,244
24:09.7,231,495,616,23225,21500,6717,961,280,244
24:10.8,231,495,616,23225,21500,6717,961,280,244
24:11.8,229,492,613,23237,21506,6731,955,280,240
24:12.8,229,492,613,23237,21506,6731,955,280,240
24:13.9,229,492,613,23237,21506,6731,955,280,240
24:14.9,229,492,613,23239,21507,6746,954,280,237
24:16.0,229,492,613,23239,21507,6746,954,280,237
24:17.0,229,492,613,23239,21507,6746,954,280,237
24:18.0,229,495,615,23227,21497,6763,956,282,236
24:19.1,229,495,615,23227,21497,6763,956,282,236
24:20.1,229,495,615,23227,21497,6763,956,282,236
24:21.1,229,494,616,23211,21486,6782,961,285,236
24:22.2,229,494,616,23211,21486,6782,961,285,236
24:23.2,229,494,616,23211,21486,6782,961,285,236
24:24.2,229,494,616,23201,21479,6798,964,287,237
24:25.3,229,494,616,23201,21479,6798,964,287,237
24:26.3,229,494,616,23201,21479,6798,964,287,237
24:27.4,230,496,618,23194,21471,6801,965,288,238
24:28.4,230,496,618,23194,21471,6801,965,288,238
24:29.4,230,496,618,23194,21471,6801,965,288,238
24:30.5,228,493,615,23182,21462,6800,966,288,238
24:31.5,228,493,615,23182,21462,6800,966,288,238
24:32.5,228,493,615,23182,21462,6800,966,288,238
24:33.6,228,492,614,23171,21449,6795,969,289,239
24:34.6,228,492,614,23171,21449,6795,969,289,239
24:35.6,228,492,614,23171,21449,6795,969,289,239
24:36.7,229,494,617,23155,21428,6786,973,291,241
24:37.7,229,494,617,23155,21428,6786,973,291,241
24:38.8,229,494,617,23155,21428,6786,973,291,241
24:39.8,229,493,616,23139,21409,6776,977,292,243
24:40.8,229,493,616,23139,21409,6776,977,292,243
24:41.9,229,493,616,23139,21409,6776,977,292,243
24:42.9,229,493,617,23123,21392,6770,983,292,246
24:43.9,229,493,617,23123,21392,6770,983,292,246
24:45.0,229,493,617,23123,21392,6770,983,292,246
24:46.0,229,494,619,23111,21377,6766,986,292,249
24:47.1,229,494,619,23111,21377,6766,986,292,249
24:48.1,229,494,619,23111,21377,6766,986,292,249
24:49.1,228,492,617,23112,21371,6765,989,291,251
24:50.2,228,492,617,23112,21371,6765,989,291,251
24:51.2,228,492,617,23112,21371,6765,989,291,251
24:52.2,228,492,617,23109,21360,6762,988,289,252
24:53.3,228,492,617,23109,21360,6762,988,289,252
24:54.3,228,492,617,23109,21360,6762,988,289,252
24:55.3,229,494,619,23104,21348,6757,989,288,253
24:56.4,229,494,619,23104,21348,6757,989,288,253
24:57.4,229,494,619,23104,21348,6757,989,288,253
24:58.4,228,492,617,23096,21337,6758,990,287,254
24:59.5,228,492,617,23096,21337,6758,990,287,254
25:00.5,228,492,617,23096,21337,6758,990,287,254
25:01.6,228,493,617,23087,21328,6761,988,285,253
25:02.6,228,493,617,23087,21328,6761,988,285,253
25:03.6,228,493,617,23087,21328,6761,988,285,253
25:04.7,229,493,618,23073,21318,6766,985,285,253
25:05.7,229,493,618,23073,21318,6766,985,285,253
25:06.7,229,493,618,23073,21318,6766,985,285,253
25:07.8,229,493,618,23053,21306,6771,983,285,253
25:08.8,229,493,618,23053,21306,6771,983,285,253
25:09.8,229,493,618,23053,21306,6771,983,285,253
25:10.9,228,493,618,23036,21299,6775,981,285,253
25:11.9,228,493,618,23036,21299,6775,981,285,253
25:13.0,228,493,618,23036,21299,6775,981,285,253
25:14.0,228,492,618,23018,21291,6774,977,285,252
25:15.0,228,492,618,23018,21291,6774,977,285,252
25:16.1,228,492,618,23018,21291,6774,977,285,252
25:17.1,228,492,618,23000,21279,6773,972,285,251
25:18.1,228,492,618,23000,21279,6773,972,285,251
25:19.2,228,492,618,23000,21279,6773,972,285,251
25:20.2,228,493,618,22984,21266,6769,968,285,251
25:21.2,228,493,618,22984,21266,6769,968,285,251
25:22.3,228,493,618,22984,21266,6769,968,285,251
25:23.3,228,492,617,22975,21258,6757,967,284,251
25:24.4,228,492,617,22975,21258,6757,967,284,251
25:25.4,228,492,617,22975,21258,6757,967,284,251
25:26.4,228,492,616,22962,21246,6743,964,282,250
25:27.5,228,492,616,22962,21246,6743,964,282,250
25:28.5,228,492,616,22962,21246,6743,964,282,250
25:29.5,228,491,615,22945,21229,6725,964,281,249
25:30.6,228,491,615,22945,21229,6725,964,281,249
25:31.6,228,491,615,22945,21229,6725,964,281,249
25:32.6,228,490,615,22928,21212,6706,966,281,250
25:33.7,228,490,615,22928,21212,6706,966,281,250
25:34.7,228,490,615,22928,21212,6706,966,281,250
